Konsument HSA-id;Konsument beskrivning;Antal anrop;Tjänstekontrakt;Logisk Adressat HSA-id;Logisk Adressat beskrivning;Producent HSA-id;Producent beskrivning
SE2321000016-532S;MVK;570;urn:riv:crm:carelisting:GetListing:1:rivtabp20;09;Gotland (länskod);HVAL - GetListing;Hval24Service - GetListing
SE2321000016-532S;MVK;96702;urn:riv:se.apotekensservice:axs:HamtaKundInfo:4:rivtabp21;556763-4778;Apoteken service - läkemedelstjänster;APO - HPI V4;Apoteken - HamtaPatientInfo V4 - RIVTA20
SE2321000016-532S;MVK;26132;urn:riv:crm:carelisting:GetPersonQueueStatus:1:rivtabp20;01;Stockholm (länskod);SE2321000016-6T2X - GPQS;SLL - ListOn - GetPersonQueueStatus - RIVTA20
SE2321000016-532S;MVK;12296;urn:riv:crm:carelisting:GetPersonQueueStatus:1:rivtabp20;12;Skåne (länskod);Skåne - Listning;Skåne - Listning
SE2321000016-532S;MVK;10465;urn:riv:crm:carelisting:GetPersonQueueStatus:1:rivtabp20;14;Västra Götaland (länskod);SE2321000131-S000000013502 - GPQS;VGR - RTjP - GetPersonQueueStatus - RIVTA20
SE2321000016-532S;MVK;9014;urn:riv:crm:carelisting:GetPersonQueueStatus:1:rivtabp20;05;Östergötland (länskod);SE2321000040-AA053 - GPQS;LiO - GetPersonQueueStatus - RIVTA20
SE2321000016-532S;MVK;7227;urn:riv:crm:carelisting:GetPersonQueueStatus:1:rivtabp20;18;Örebro (länskod);SE2321000164-101F - GPQS;ÖLL - GetPersonQueueStatus - RIVTA20
SE2321000016-532S;MVK;6314;urn:riv:crm:carelisting:GetPersonQueueStatus:1:rivtabp20;24;Västerbotten (länskod);SE162321000222-0B06 - GPQS;VLL - GetPersonQueueStatus - RIVTA20
SE2321000016-532S;MVK;4908;urn:riv:crm:carelisting:GetPersonQueueStatus:1:rivtabp20;13;Halland (länskod);SE162321000115-F10010 - GPQS;Halland - GetPersonQueueStatus
SE2321000016-532S;MVK;4278;urn:riv:crm:carelisting:GetPersonQueueStatus:1:rivtabp20;06;Jönköping (länskod);LJ - GPQS;LJ - GetPersonQueueStatus
SE2321000016-532S;MVK;3716;urn:riv:crm:carelisting:GetPersonQueueStatus:1:rivtabp20;21;Gävleborg (länskod);SE162321000198-001J - GPQS;LG - GetPersonQueueStatus - RIVTA20
SE2321000016-532S;MVK;2781;urn:riv:crm:carelisting:GetPersonQueueStatus:1:rivtabp20;22;Västernorrland (länskod);HSASERVICES-10F7 - GPQS;LVN - GetPersonQueueStatus - RIVTA20
SE2321000016-532S;MVK;2573;urn:riv:crm:carelisting:GetPersonQueueStatus:1:rivtabp20;08;Kalmar (länskod);SE162321000073-0009 - GPQS;Kalmar - GetPersonQueueStatus
SE2321000016-532S;MVK;2409;urn:riv:crm:carelisting:GetPersonQueueStatus:1:rivtabp20;25;Norrbotten (länskod);SE162321000230-0007 - Listning;NLL - Listning
SE2321000016-532S;MVK;1578;urn:riv:crm:carelisting:GetPersonQueueStatus:1:rivtabp20;07;Kronoberg (länskod);Kronoberg - GPQS;Kronoberg - GetPersonQueueStatus
SE2321000016-532S;MVK;29014;urn:riv:itintegration:engagementindex:FindContent:1:rivtabp21;5565594230;Inera organisations id;HSASERVICES-105L - PU;NPÖ - PU
SE2321000016-532S;MVK;21686;urn:riv:se.apotekensservice:or:SkrivUtMinaSparadeRecept:1:rivtabp21;556763-4778;Apoteken service - läkemedelstjänster;APO - HPI V4;Apoteken - HamtaPatientInfo V4 - RIVTA20
SE2321000016-532S;MVK;548;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000172-2V8Z;VE: Västmanland - Gynekologisk cellprovskontroll ;SE162321000172-0035 - UB;LTV - SafirLis - UpdateBooking - RIVTA21
SE2321000016-532S;MVK;505;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000115-F73184;VG: Halland - Klinisk patologi och cytologi Länssjukhuset Halmstad;SE162321000115-F10013  - GATT;Halland - SafirLis - GetAllTimeTypes - RIVTA20
SE2321000016-532S;MVK;452;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000057-66R5;VE: Jönköping - Gynekologisk cellprovtagning;SE162321000057-0043 - GBD;LJ - SafirLis - GetBookingDetails - RIVTA20
SE2321000016-532S;MVK;368;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000016-14JV;VE: SLL - Bollmora VC;SE2321000016-7P35 - TakeCare - GATT;SLL - RTjP - TakeCare - GetAllTimeTypes - RIVTA20
SE2321000016-532S;MVK;333;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000040-5296;VE: Östergötland - STD US Hudkliniken i Östergötland;SE2321000040-AA053 - Cosmic - CB;LiO - RTjP - Cosmic - CancelBooking - RIVTA20
SE2321000016-532S;MVK;289;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000016-10L1;VE: SLL - Fysiocenter Odenplan Praktikertjänst AB;SE2321000016-7P35 - TakeCare - UB;SLL - RTjP - TakeCare - UpdateBooking - RIVTA20
SE2321000016-532S;MVK;284;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000016-13T0;VE: SLL - Husläkarna i Österåker;SE2321000016-7P35 - TakeCare - UB;SLL - RTjP - TakeCare - UpdateBooking - RIVTA20
SE2321000016-532S;MVK;249;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000164-7381037598054;VE: Örebro - Ängens VC;SE162321000164-0090 - CB;ÖLL - RTjP - CancelBooking - RIVTA20
SE2321000016-532S;MVK;239;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000164-7381037594889;VE: Örebro - Tybble VC;SE162321000164-0090 - CB;ÖLL - RTjP - CancelBooking - RIVTA20
SE2321000016-532S;MVK;231;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000040-52BW;VE: Östergötland - Allergimottagning allmän;SE2321000040-AA053 - Cosmic - UB;LiO - RTjP - Cosmic - UpdateBooking - RIVTA20
SE2321000016-532S;MVK;230;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000016-1625;VE: SLL - Spånga VC;SE2321000016-7P35 - TakeCare - UB;SLL - RTjP - TakeCare - UpdateBooking - RIVTA20
SE2321000016-532S;MVK;210;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000016-107N;VE: SLL - RFSU kliniken;SE2321000016-7P35 - TakeCare - UB;SLL - RTjP - TakeCare - UpdateBooking - RIVTA20
SE2321000016-532S;MVK;200;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000164-7381037590379;VE: Örebro - FTV Hertig Karl;SE162321000164-0090 - CB;ÖLL - RTjP - CancelBooking - RIVTA20
SE2321000016-532S;MVK;188;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000057-49T9;VE: Jönköping - Nässjö VC;SE162321000057-0068 - GATT;LJ - Cosmic - GetAllTimeTypes -  RIVTA20
SE2321000016-532S;MVK;184;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000180-46CH;VG: Dalarna - Mammografi Dalarna;SE2321000180-0018 - UB;Dalarna - Sectra - UpdateBooking - RIVTA20
SE2321000016-532S;MVK;182;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000016-11FG;VG: SLL - Storvreten VC (CGM);SE2321000016-7P35 - TakeCare - CB;SLL - RTjP - TakeCare - CancelBooking - RIVTA20
SE2321000016-532S;MVK;177;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000164-7381037591147;VE: ÖLL - Blodcentralen USÖ;SE162321000164-0144 - GATT;ÖLL - Prosang - GetAllTimeTypes - RIVTA21
SE2321000016-532S;MVK;176;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000016-14M8;VE: SLL - Tullinge VC;SE2321000016-7P35 - TakeCare - CB;SLL - RTjP - TakeCare - CancelBooking - RIVTA20
SE2321000016-532S;MVK;166;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000016-2N68;VE: SLL - Tranebergs VC;SE2321000016-7P35 - TakeCare - UB;SLL - RTjP - TakeCare - UpdateBooking - RIVTA20
SE2321000016-532S;MVK;151;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000172-2SBZ;VG: Västmanlands läns landsting;SE162321000172-0024 - CB;LTV - Sectra - CancelBooking - RIVTA20
SE2321000016-532S;MVK;143;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000016-161H;VE: SLL - Brommaplans VC;SE2321000016-7P35 - TakeCare - CB;SLL - RTjP - TakeCare - CancelBooking - RIVTA20
SE2321000016-532S;MVK;118;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000164-7381037595022;VE: Örebro - Kumla VC Kungsvägsmottagningen;SE162321000164-0090 - CB;ÖLL - RTjP - CancelBooking - RIVTA20
SE2321000016-532S;MVK;117;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000057-4R7D;VE: Jönköping - Värnamo FTV;SE2321000057-64G1 - GATT;LJ - T4 - GetAllTimeTypes - RIVTA20
SE2321000016-532S;MVK;116;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000164-7381037590409;VE: Örebro - FTV Haga;SE162321000164-0090 - CB;ÖLL - RTjP - CancelBooking - RIVTA20
SE2321000016-532S;MVK;114;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000016-14C9;VE: SLL - Forums VC;SE2321000016-7P35 - TakeCare - UB;SLL - RTjP - TakeCare - UpdateBooking - RIVTA20
SE2321000016-532S;MVK;112;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000016-14FJ;VE: SLL - Segeltorps VC;SE2321000016-7P35 - TakeCare - UB;SLL - RTjP - TakeCare - UpdateBooking - RIVTA20
SE2321000016-532S;MVK;112;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000164-7381037590416;VE: Örebro - FTV Adolfsberg;SE162321000164-0090 - CB;ÖLL - RTjP - CancelBooking - RIVTA20
SE2321000016-532S;MVK;110;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000057-4BLH;VE: Jönköping - Hälsans VC 2;SE162321000057-0068 - GBD;LJ - Cosmic - GetBookingDetails - RIVTA20
SE2321000016-532S;MVK;109;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000016-14HL;VE: SLL - Boo VC;SE2321000016-7P35 - TakeCare - UB;SLL - RTjP - TakeCare - UpdateBooking - RIVTA20
SE2321000016-532S;MVK;101;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000164-7381037590263;VE: Örebro - FTV Karlskoga;SE162321000164-0090 - CB;ÖLL - RTjP - CancelBooking - RIVTA20
SE2321000016-532S;MVK;99;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000040-5BQ3;VG: Östergötland - Kvinnohälsan Linköping ;SE2321000040-AA053 - Obstetrix - CB;LiO - RTjP - Obstetrix - CancelBooking - RIVTA20
SE2321000016-532S;MVK;98;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000164-7381037594872;VE: Örebro - Skebäcks VC;SE162321000164-0090 - CB;ÖLL - RTjP - CancelBooking - RIVTA20
SE2321000016-532S;MVK;97;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000016-5D44;VE: SLL - Kungsholmsdoktorn;SE2321000016-7P35 - TakeCare - UB;SLL - RTjP - TakeCare - UpdateBooking - RIVTA20
SE2321000016-532S;MVK;91;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000065-7330028062548;VE: Kronoberg - Mammografisektionen Ljungby;SE2321000065-7330028062357 - GSOCS;Kronoberg - Sectra - GetSubjectOfCareSchedule - RIVTA20
SE2321000016-532S;MVK;89;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000016-162M;VE: SLL - Riksby VC;SE2321000016-7P35 - TakeCare - UB;SLL - RTjP - TakeCare - UpdateBooking - RIVTA20
SE2321000016-532S;MVK;87;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000016-14FM;VE: SLL - Gustavsbergs VC;SE2321000016-7P35 - TakeCare - UB;SLL - RTjP - TakeCare - UpdateBooking - RIVTA20
SE2321000016-532S;MVK;87;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000115-O81282;VE: Halland - Mammografimottagningen i Halmstad;SE162321000115-F10019 - UB;Halland - Sectra - UpdateBooking - RIVTA20
SE2321000016-532S;MVK;86;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000016-5SPG;VE: SLL - Stuvsta VC AB;SE2321000016-7P35 - TakeCare - UB;SLL - RTjP - TakeCare - UpdateBooking - RIVTA20
SE2321000016-532S;MVK;86;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000065-7330028001394;VE: Kronoberg - Mammografisektionen Växjö;SE2321000065-7330028062357 - GSOCS;Kronoberg - Sectra - GetSubjectOfCareSchedule - RIVTA20
SE2321000016-532S;MVK;84;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE162321000156-4B5J;VE: Värmland - BMM Kronoparken Karlstad;SE162321000156-4GN9 - FlexLab - UB;LiV - RTjP - FlexLab - UpdateBooking - RIVTA20
SE2321000016-532S;MVK;84;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000016-14L8;VE: SLL - Älvsjö VC;SE2321000016-7P35 - TakeCare - GATT;SLL - RTjP - TakeCare - GetAllTimeTypes - RIVTA20
SE2321000016-532S;MVK;84;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000115-F52165;VE: Halland - Mammografimottagningen i Kungsbacka;SE162321000115-F10019 - UB;Halland - Sectra - UpdateBooking - RIVTA20
SE2321000016-532S;MVK;83;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000016-156T;VE: SLL - Jakobsbergs VC;SE2321000016-7P35 - TakeCare - UB;SLL - RTjP - TakeCare - UpdateBooking - RIVTA20
SE2321000016-532S;MVK;83;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000115-F88894;VE: Halland - Mammografimottagningen i Varberg;SE162321000115-F10019 - UB;Halland - Sectra - UpdateBooking - RIVTA20
SE2321000016-532S;MVK;83;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000164-7381037590355;VE: Örebro - FTV Brickbacken;SE162321000164-0090 - CB;ÖLL - RTjP - CancelBooking - RIVTA20
SE2321000016-532S;MVK;83;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000164-7381037590386;VE: Örebro - FTV Sofia;SE162321000164-0090 - CB;ÖLL - RTjP - CancelBooking - RIVTA20
SE2321000016-532S;MVK;82;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000016-1302;VE: SLL - Edsbergs VC;SE2321000016-7P35 - TakeCare - UB;SLL - RTjP - TakeCare - UpdateBooking - RIVTA20
SE2321000016-532S;MVK;82;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000073-Z67K;VE: Kalmar - Mammografienheten Västervik;SE162321000073-0046 - Tidbok;Kalmar - Sectra - Alla tidbokstjänster - RIVTA20
SE2321000016-532S;MVK;82;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000164-7381037590249;VE: Örebro - FTV Hällefors;SE162321000164-0090 - CB;ÖLL - RTjP - CancelBooking - RIVTA20
SE2321000016-532S;MVK;81;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000016-165T;VE: SLL - Gärdets VC;SE2321000016-7P35 - TakeCare - UB;SLL - RTjP - TakeCare - UpdateBooking - RIVTA20
SE2321000016-532S;MVK;81;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE5565189692-101J6;VE: SLL - Capio - Ortopedmottagningen;SE5565189692-B03 - MB;SLL - Cosmic - MakeBooking - RIVTA20
SE2321000016-532S;MVK;80;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000016-14JB;VE: SLL - Axelbergs VC;SE2321000016-7P35 - TakeCare - UB;SLL - RTjP - TakeCare - UpdateBooking - RIVTA20
SE2321000016-532S;MVK;80;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000198-019287;VG: Gävleborg - BMM Hudiksvall- Nordanstig;SE162321000198-0015 - UB;LG - FlexLab - UpdateBooking - RIVTA20
SE2321000016-532S;MVK;79;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000040-4G0L;VE: Östergötland - Lambohovs VC;SE2321000040-AA053 - Cosmic - UB;LiO - RTjP - Cosmic - UpdateBooking - RIVTA20
SE2321000016-532S;MVK;77;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000164-7381037595015;VE: Örebro - Kumla VC Fylstamottagningen;SE162321000164-0090 - CB;ÖLL - RTjP - CancelBooking - RIVTA20
SE2321000016-532S;MVK;77;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000222-0259505;VE: Västerbotten - Mammografi Umeå;SE162321000222-B0J - CB;VLL - Sectra - CancelBooking - RIVTA20
SE2321000016-532S;MVK;75;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000016-108R;VE: SLL - Råcksta Vällingby Närvårdsmottagning;SE2321000016-7P35 - TakeCare - GATT;SLL - RTjP - TakeCare - GetAllTimeTypes - RIVTA20
SE2321000016-532S;MVK;75;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000057-4PKX;VE: Jönköping - Kirurgmottagningen Värnamo sjukhus;SE162321000057-0068 - GATT;LJ - Cosmic - GetAllTimeTypes -  RIVTA20
SE2321000016-532S;MVK;75;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000073-4C01;VE: Kalmar - Kvarnholmens hälsocentral;SE2321000073-0018 - GATT;Kalmar - Cosmic - GetAllTimeTypes - RIVTA20
SE2321000016-532S;MVK;74;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000073-4C0C;VE: Kalmar - Mammografienheten Kalmar;SE162321000073-0046 - Tidbok;Kalmar - Sectra - Alla tidbokstjänster - RIVTA20
SE2321000016-532S;MVK;73;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000016-154L;VE: SLL - Rissne VC;SE2321000016-7P35 - TakeCare - UB;SLL - RTjP - TakeCare - UpdateBooking - RIVTA20
SE2321000016-532S;MVK;73;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000057-4R49;VE: Jönköping - Rosenlund FTV;SE2321000057-64G1 - GATT;LJ - T4 - GetAllTimeTypes - RIVTA20
SE2321000016-532S;MVK;70;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE162321000255-O13940;VE: Skåne - BMM Södertull;SE162321000255-F12706 - GAHF;Skåne - FlexLab - GetAllHealthcareFacilities - RIVTA20
SE2321000016-532S;MVK;66;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000016-1545;VE: SLL - Solna centrum VC;SE2321000016-7P35 - TakeCare - CB;SLL - RTjP - TakeCare - CancelBooking - RIVTA20
SE2321000016-532S;MVK;65;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000040-529F;VE: Östergötland - STD ViN Hudliniken i Östergötland;SE2321000040-AA053 - Cosmic - CB;LiO - RTjP - Cosmic - CancelBooking - RIVTA20
SE2321000016-532S;MVK;65;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000057-4R78;VE: Jönköping - Vråen FTV;SE2321000057-64G1 - GATT;LJ - T4 - GetAllTimeTypes - RIVTA20
SE2321000016-532S;MVK;65;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000115-F49874;VE: Halland - Mammografimottagningen i Falkenberg;SE162321000115-F10019 - UB;Halland - Sectra - UpdateBooking - RIVTA20
SE2321000016-532S;MVK;63;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000040-5294;VE: Östergötland - Hudkliniken US;SE2321000040-AA053 - Cosmic - CB;LiO - RTjP - Cosmic - CancelBooking - RIVTA20
SE2321000016-532S;MVK;62;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000016-14G0;VE: SLL - Ektorps VC;SE2321000016-7P35 - TakeCare - UB;SLL - RTjP - TakeCare - UpdateBooking - RIVTA20
SE2321000016-532S;MVK;61;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000040-69VB;VE: Östergötland - Kvinnohälsan Motala;SE2321000040-AA053 - Flexlab - GAT;LiO - RTjP - Flexlab - GetAvailableTimeslots - RIVTA20
SE2321000016-532S;MVK;60;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000057-4R7S;VE: Jönköping - Gislaved FTV;SE2321000057-64G1 - GATT;LJ - T4 - GetAllTimeTypes - RIVTA20
SE2321000016-532S;MVK;60;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000057-5SRT;VG: Jönköping - Nässjö Läkarhus;SE5565594230-B8N - RMCQ;Vårdens Intyg - Webcert - RMCQ - RIVTA20
SE2321000016-532S;MVK;59;urn:riv:crm:scheduling:GetAvailableDates:1:rivtabp21;SE2321000057-4G86;VE: Jönköping - Hälsan FTV;SE2321000057-64G1 - GATT;LJ - T4 - GetAllTimeTypes - RIVTA20
